id,iteracion,optimizador,clasificador,accuracy,precision,recall,best_epoch,best_fitness,total_time,features
,24,OriginalABC,knn,0.9532054282,0.8729295918,0.860901909,26,0.872452635,427.2256861,"Index(['minX', 'meanZ2', 'sdX2', 'corXZ2'], dtype='object')"
,24,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,25,0.8733095457,1195.287222,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,25,OriginalABC,knn,0.9480580253,0.8546768864,0.8295121084,20,0.8729873018,430.7184112,"Index(['minZ', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,25,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,16,0.8733095457,1149.704911,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,26,OriginalABC,knn,0.9480580253,0.8546768864,0.8295121084,38,0.8729873018,430.8561893,"Index(['minZ', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,26,OriginalABC,svm,0.9471221338,0.8480735138,0.8142138627,16,0.8719018079,1121.097676,"Index(['meanZ', 'sdX2', 'maxX2', 'corXZ2'], dtype='object')"
,27,OriginalABC,knn,0.918577445,0.7406990519,0.7227025976,22,0.8714596192,426.800446,"Index(['minX2', 'corXZ2'], dtype='object')"
,27,OriginalABC,svm,0.956481048,0.8805605035,0.854048022,23,0.8720139193,1165.36565,"Index(['maxZ', 'meanZ2', 'sdX2', 'sdY2', 'corXZ2'], dtype='object')"
,28,OriginalABC,knn,0.9546092653,0.8844929934,0.8747286851,31,0.8719053553,434.7903721,"Index(['meanX', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,28,OriginalABC,svm,0.9513336453,0.8603372157,0.8218395857,36,0.8720963218,1155.893562,"Index(['minZ', 'sdX2', 'maxZ2', 'corXZ2'], dtype='object')"
,29,OriginalABC,knn,0.9532054282,0.8729295918,0.860901909,19,0.872452635,426.9745305,"Index(['minX', 'meanZ2', 'sdX2', 'corXZ2'], dtype='object')"
,29,OriginalABC,svm,0.9513336453,0.8603372157,0.8218395857,40,0.8720963218,1104.664323,"Index(['minZ', 'sdX2', 'maxZ2', 'corXZ2'], dtype='object')"
,30,OriginalABC,knn,0.9480580253,0.8546768864,0.8295121084,33,0.8729873018,430.6789122,"Index(['minZ', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,30,OriginalABC,svm,0.9513336453,0.8603372157,0.8218395857,24,0.8720963218,1149.003858,"Index(['minZ', 'sdX2', 'maxZ2', 'corXZ2'], dtype='object')"
,1,OriginalArchOA,knn,0.9546092653,0.8844929934,0.8747286851,25,0.8719053553,246.2042167,"Index(['meanX', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,1,OriginalArchOA,svm,0.9499298081,0.8566431233,0.8308397494,25,0.871785927,679.3273382,"Index(['maxZ', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,2,OriginalArchOA,knn,0.9251286851,0.766291792,0.7479024198,20,0.8688191966,234.7293091,"Index(['sdX2', 'minX2'], dtype='object')"
,2,OriginalArchOA,svm,0.9255966308,0.76127984,0.7350369197,21,0.8707248708,719.3922212,"Index(['maxY2', 'maxZ2', 'corXZ2', 'sdMagnitude2'], dtype='object')"
,3,OriginalArchOA,knn,0.9494618624,0.8697791782,0.854787121,27,0.8688124465,249.3022919,"Index(['sdX', 'minX', 'sdX2', 'minZ2'], dtype='object')"
,3,OriginalArchOA,svm,0.9475900796,0.8487462952,0.8142701202,42,0.871163168,700.2978387,"Index(['maxZ', 'meanX2', 'sdX2', 'corXZ2'], dtype='object')"
,4,OriginalArchOA,knn,0.9513336453,0.8752622192,0.8433128195,18,0.870920789,222.7553346,"Index(['maxZ', 'meanZ2', 'sdX2'], dtype='object')"
,4,OriginalArchOA,svm,0.9110903135,0.7112947941,0.6604187151,17,0.869568282,1001.778542,"Index(['minX2', 'corXZ2'], dtype='object')"
,5,OriginalArchOA,knn,0.9536733739,0.8748791437,0.8518226307,32,0.8717735115,233.443691,"Index(['meanX', 'meanZ2', 'sdX2', 'corXZ2'], dtype='object')"
,5,OriginalArchOA,svm,0.9541413196,0.8717168276,0.844737387,28,0.871699411,695.233834,"Index(['maxZ', 'sdX2', 'maxZ2', 'corXZ2'], dtype='object')"
,6,OriginalArchOA,knn,0.9461862424,0.8626435398,0.8239919704,25,0.869116756,232.5738392,"Index(['meanMagnitude', 'meanZ2', 'maxX2'], dtype='object')"
