combination,meanY,corXY,corXY2,meanMagnitude2,maxY2,corXZ2,maxZ2,sdZ,meanY2,meanMagnitude,meanZ,corYZ2,maxZ,minX2,minZ,meanX,corXZ,sdZ2,auc2,sdX,maxY,maxX2,meanX2,sdMagnitude2,minY2,minZ2,sdY2,meanDif,meanZ2,sdX2,sdMagnitude,corYZ,maxX,auc,sdY,minY,minX,meanDif2,user
OriginalGBO_svm,3,0,1,3,0,0,1,0,1,0,4,0,9,0,2,1,2,6,0,0,1,6,1,5,0,7,2,0,4,5,3,4,0,1,2,3,6,0,507.0
OriginalJA_knn,0,3,3,1,5,0,7,0,9,7,2,1,7,1,1,2,2,12,1,0,10,10,3,13,0,5,0,4,11,8,6,10,1,5,2,2,11,6,507.0
OriginalJA_svm,3,2,1,5,2,1,2,0,2,2,3,2,4,2,2,3,2,5,1,0,6,11,4,6,0,1,0,0,7,4,4,3,2,2,0,1,6,1,507.0
OriginalRUN_knn,0,3,2,0,2,0,0,0,4,2,5,0,6,1,1,2,0,0,2,0,6,19,6,3,0,2,1,1,18,6,1,2,1,3,0,5,4,0,507.0
OriginalRUN_svm,0,0,0,1,0,0,0,0,0,0,0,0,26,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,2,0,1,0,0,1,0,1,0,507.0
OriginalWOA_knn,0,2,1,4,2,1,4,0,5,3,2,0,3,4,0,3,1,3,3,0,8,10,8,11,1,3,3,2,9,8,5,2,1,1,0,5,4,0,507.0
OriginalWOA_svm,1,0,0,4,3,1,0,0,2,0,3,0,17,0,0,1,2,1,1,0,3,5,0,2,0,4,0,0,1,2,3,2,0,0,0,1,0,0,507.0
PPSO_knn,0,2,1,4,1,1,10,0,4,7,1,0,6,1,4,5,1,8,0,0,8,6,11,5,0,3,0,2,4,11,6,3,1,1,2,2,4,2,507.0
PPSO_svm,1,0,0,4,2,0,2,1,3,1,1,0,13,1,0,4,2,6,0,0,3,3,4,2,0,0,0,0,3,3,4,2,0,1,0,1,3,0,507.0
BaseDE_knn,7,0,0,8,12,13,7,3,9,9,7,6,9,6,6,18,29,2,10,4,13,7,11,8,4,19,19,7,10,17,3,14,12,5,17,12,13,10,508.0
BaseDE_svm,6,4,4,7,14,30,6,0,15,8,8,4,8,11,4,22,29,1,13,1,11,12,7,5,7,17,21,3,3,16,7,6,12,4,15,3,4,7,508.0
BaseGA_knn,5,0,0,4,14,0,0,0,0,6,4,0,10,3,0,8,5,0,2,0,0,11,5,2,1,5,1,0,3,13,1,0,0,6,2,0,2,0,508.0
BaseGA_svm,0,0,0,0,16,30,0,0,0,0,2,0,2,5,0,24,10,0,3,0,4,12,1,2,0,8,0,0,1,15,1,2,3,1,11,0,3,0,508.0
OriginalArchOA_knn,6,0,0,0,14,1,3,0,3,1,7,2,5,7,2,9,24,1,4,0,9,1,2,2,0,21,14,0,5,7,0,5,6,2,13,4,10,0,508.0
OriginalArchOA_svm,0,0,2,0,16,26,0,0,3,0,4,0,3,4,0,15,26,1,3,0,4,5,1,5,0,11,9,0,2,5,0,2,10,0,9,0,5,0,508.0
OriginalDO_knn,6,0,0,3,5,5,4,1,1,2,4,1,9,4,2,14,30,3,1,1,9,6,4,8,0,17,22,1,4,3,1,9,8,5,17,12,9,2,508.0
OriginalDO_svm,0,0,3,1,11,30,2,0,1,0,2,0,1,5,0,23,28,1,0,0,2,6,0,9,1,10,17,0,2,3,1,1,8,1,15,2,0,0,508.0
OriginalGBO_knn,7,0,0,5,7,7,7,0,2,4,6,2,4,7,0,16,28,4,2,0,5,7,1,7,3,17,24,2,0,5,2,3,9,3,20,10,5,3,508.0
OriginalGBO_svm,3,0,1,4,14,28,4,0,3,4,7,1,5,3,0,14,27,1,2,0,6,7,1,5,1,11,15,0,2,5,0,1,13,0,13,0,5,1,508.0
OriginalJA_knn,5,0,0,6,9,7,7,2,7,6,6,3,7,7,4,14,26,2,4,2,7,7,9,5,3,19,19,2,2,9,3,10,7,3,19,9,8,9,508.0
OriginalJA_svm,4,0,5,5,8,24,2,0,5,1,2,3,6,4,1,16,25,1,3,0,6,7,4,4,0,9,19,2,6,9,4,6,9,4,17,3,5,2,508.0
OriginalRUN_knn,2,0,0,0,5,0,2,0,0,1,6,0,2,3,0,11,14,0,0,0,1,16,3,1,1,14,5,0,1,1,0,7,1,1,6,2,3,3,508.0
OriginalRUN_svm,1,0,1,1,11,28,0,0,0,0,1,1,4,1,1,12,23,0,0,0,2,5,2,9,0,10,10,0,3,3,0,3,13,0,10,0,5,0,508.0
OriginalWOA_knn,4,0,0,3,4,1,0,1,3,3,2,0,5,3,1,10,13,3,2,0,6,8,2,6,0,11,11,1,6,7,1,6,4,5,13,3,3,0,508.0
OriginalWOA_svm,1,0,2,2,13,20,1,0,1,1,3,1,2,0,0,13,20,1,0,0,2,4,2,7,1,9,9,0,3,6,0,3,14,0,8,2,1,0,508.0
PPSO_knn,8,0,0,2,5,1,3,0,4,2,3,1,9,5,1,15,20,1,3,1,6,4,4,8,2,17,14,0,0,6,1,5,3,4,9,5,4,0,508.0
PPSO_svm,2,0,4,2,14,14,3,0,0,0,6,1,4,1,0,13,15,1,2,0,5,5,2,10,1,5,12,0,1,4,0,4,11,0,10,2,3,0,508.0
BaseDE_knn,23,2,17,7,3,15,2,4,6,7,8,0,7,4,10,10,10,9,6,6,2,5,4,11,8,14,0,3,4,8,6,0,11,12,1,17,8,5,509.0
BaseDE_svm,22,1,8,8,9,28,3,1,5,3,1,2,3,11,5,5,23,16,9,6,14,8,2,10,12,8,10,4,2,11,10,1,6,6,11,15,8,4,509.0
BaseGA_knn,6,0,15,0,0,2,1,2,0,3,1,0,6,5,4,5,0,6,0,1,0,12,1,3,0,12,0,0,2,6,0,0,2,2,1,23,4,0,509.0
BaseGA_svm,30,0,1,6,0,10,0,0,0,1,1,0,2,1,0,0,0,4,3,0,0,1,1,1,1,23,6,0,0,4,1,0,0,1,1,23,0,0,509.0
OriginalArchOA_knn,16,0,7,0,2,17,1,4,0,2,1,0,3,3,3,3,10,4,3,0,3,7,2,4,4,13,0,2,2,2,2,0,3,3,1,15,2,0,509.0
OriginalArchOA_svm,25,0,3,5,6,17,0,0,2,0,1,0,1,1,2,0,13,4,4,0,5,2,1,0,0,18,7,1,0,6,0,0,2,0,10,12,0,1,509.0
OriginalDO_knn,16,1,13,0,0,11,2,2,2,6,1,0,4,2,7,3,9,8,0,0,2,5,0,5,3,16,0,0,2,4,2,0,0,1,3,17,1,0,509.0
OriginalDO_svm,30,0,2,2,5,17,0,0,0,0,1,0,1,4,0,1,6,7,2,0,1,1,0,6,5,13,6,0,0,2,2,0,0,0,4,19,1,0,509.0
OriginalGBO_knn,15,1,13,2,2,15,2,2,1,3,5,0,1,2,7,1,8,7,1,0,2,3,3,7,2,12,0,0,3,6,1,1,8,3,2,13,3,0,509.0
OriginalGBO_svm,28,0,3,4,2,19,0,1,1,1,0,0,2,4,0,2,9,9,6,1,2,0,0,7,6,8,11,0,0,2,2,0,1,2,7,10,0,2,509.0
OriginalJA_knn,23,1,12,5,4,7,5,6,7,5,4,0,4,4,3,7,14,1,6,2,4,4,3,5,4,12,2,3,4,3,3,0,4,1,2,14,2,0,509.0
OriginalJA_svm,18,0,8,9,8,23,5,0,1,1,1,0,2,3,2,3,19,9,8,3,8,0,1,5,4,7,12,2,3,4,1,2,7,2,10,3,1,3,509.0
OriginalRUN_knn,16,0,16,0,2,8,2,3,3,2,1,0,6,1,6,3,5,8,1,0,1,5,0,3,1,16,0,0,2,4,0,0,1,3,2,17,1,0,509.0
OriginalRUN_svm,28,0,3,2,2,18,1,1,0,2,0,0,1,2,0,0,5,7,3,1,1,0,0,3,2,13,8,1,0,4,0,1,1,2,7,14,2,0,509.0
OriginalWOA_knn,14,2,11,1,0,9,3,2,1,1,4,0,3,3,6,2,7,8,1,0,4,4,2,3,2,7,0,0,0,1,2,0,5,4,2,15,4,0,509.0
OriginalWOA_svm,21,3,6,6,3,19,0,1,0,0,1,1,1,1,0,1,10,4,3,0,3,1,0,3,4,11,6,0,1,6,2,4,5,0,10,9,1,0,509.0
PPSO_knn,25,1,11,0,1,13,1,4,3,4,2,0,4,1,2,1,16,6,1,0,5,3,4,4,5,11,0,0,1,7,0,1,5,2,4,9,0,0,509.0
PPSO_svm,22,1,3,6,3,14,0,0,0,1,0,0,2,4,2,1,16,7,1,0,7,1,2,4,3,7,4,0,3,11,1,5,2,1,13,11,1,1,509.0
BaseDE_knn,8,6,26,12,10,11,8,10,16,11,2,1,12,9,9,12,10,0,9,9,8,13,4,17,11,0,9,9,11,8,8,2,7,11,21,18,11,14,510.0
BaseDE_svm,3,14,6,6,1,8,7,10,9,6,6,6,6,5,6,6,26,0,2,0,7,6,5,14,7,2,1,3,1,3,11,11,3,7,29,3,14,6,510.0
BaseGA_knn,2,0,17,4,2,0,3,2,15,2,1,0,4,5,0,1,0,0,4,1,0,2,1,20,8,0,1,4,5,1,4,0,0,1,24,3,5,1,510.0
BaseGA_svm,0,6,2,0,3,15,0,3,3,1,7,0,3,0,10,0,29,0,0,1,1,4,0,2,2,1,1,0,0,1,1,16,0,2,29,1,3,1,510.0
OriginalArchOA_knn,5,4,24,8,4,8,5,5,4,7,1,0,4,2,1,0,5,0,5,3,4,4,0,9,2,0,4,5,7,6,8,0,1,2,17,4,4,1,510.0
