filter_method,classifier,accuracy,precision,recall,F1,MCC,Balanced_accuracy,total_time,features
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.12295317649841309,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.41056370735168457,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.18255949020385742,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.7849686145782471,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.13448548316955566,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.4333498477935791,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.11787772178649902,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.4222843647003174,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.12592267990112305,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.42177772521972656,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.12489485740661621,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.4148423671722412,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.12066030502319336,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.7285048961639404,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.12177729606628418,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
