user,combination,accuracy,precision,recall,F1,MCC,Balanced_accuracy,sensitivity,specificity,number_features
501,PPSO_knn,0.9586309523809524,0.8520220133017261,0.8159774436090225,0.8275309344244806,0.896422156418966,0.8159774436090225,0.8159774436090225,0.9800513356425076,5.433333333333334
501,PPSO_svm,0.9625,0.793727969794095,0.7909431913116124,0.7896571371311094,0.9059645180934357,0.7909431913116124,0.7909431913116124,0.9761124806440155,3.8666666666666667
502,BaseDE_knn,0.9524216524216524,0.799752993910015,0.7680389144905274,0.7784054748684393,0.8614004357657981,0.7680389144905274,0.7680389144905274,0.9646868686868687,12.466666666666667
502,BaseDE_svm,0.9484330484330484,0.8445097266387959,0.7929441884280594,0.808794160338435,0.8490756682777697,0.7929441884280594,0.7929441884280594,0.9590606060606061,12.866666666666667
502,BaseGA_knn,0.9492877492877494,0.8810679055971029,0.8023522785458269,0.8220387711659434,0.8518287759218292,0.8023522785458269,0.8023522785458269,0.9564174926838478,4.366666666666666
502,BaseGA_svm,0.9424501424501425,0.8456528601846697,0.7884198668714798,0.8035048949492793,0.8311329911969955,0.7884198668714798,0.7884198668714798,0.9543131313131314,4.766666666666667
502,OriginalArchOA_knn,0.9455840455840456,0.8341785329137223,0.7794439324116743,0.790036827295286,0.8410504155617577,0.7794439324116743,0.7794439324116743,0.9569355153207877,4.1
502,OriginalArchOA_svm,0.9413105413105413,0.8180318068325781,0.7490404505888377,0.7610787573755461,0.8276105240779658,0.7490404505888377,0.7490404505888377,0.9518989898989899,4.833333333333333
502,OriginalDO_knn,0.9478632478632479,0.8272474348074198,0.7825386584741423,0.796041835375077,0.8476706511058573,0.7825386584741423,0.7825386584741423,0.9598080808080809,7.733333333333333
502,OriginalDO_svm,0.9467236467236468,0.8634166161482771,0.8043727598566309,0.8194599633154426,0.8442062220817121,0.8043727598566309,0.8043727598566309,0.9567424242424243,8.133333333333333
502,OriginalGBO_knn,0.9492877492877494,0.8388926633704074,0.792705581157194,0.8068368896242364,0.8520934442001623,0.792705581157194,0.792705581157194,0.9611952704616257,6.733333333333333
502,OriginalGBO_svm,0.9452991452991454,0.8481288245801947,0.78642089093702,0.8009264053480416,0.8397033753590827,0.78642089093702,0.78642089093702,0.9553535353535353,7.533333333333333
502,OriginalJA_knn,0.9455840455840456,0.7759994291298837,0.7382836661546339,0.7501387250202853,0.841106742276431,0.7382836661546339,0.7382836661546339,0.9601902199565752,7.233333333333333
502,OriginalJA_svm,0.9455840455840456,0.864445685818845,0.7870496671786995,0.8019484677260694,0.840836787677328,0.7870496671786995,0.7870496671786995,0.9543265835929388,6.566666666666666
